ip,selfish,total_packet_size
0,0,189106
1,0,229400
2,1,256313
3,0,224064
4,0,199412
5,1,226030
6,0,221116
7,1,235900
8,0,195342
9,0,210011
10,0,248638
11,0,234005
12,0,188078
13,0,215925
14,0,223154
15,0,210058
16,0,250007
17,0,219915
18,0,237714
19,0,243799
20,0,179045
21,0,212408
22,0,231155
23,0,233968
24,0,216294
25,1,289133
26,0,233339
27,0,213034
28,0,217714
29,1,233167
30,0,205993
31,0,258970
32,0,202026
33,0,248133
34,0,227913
35,0,251184
36,0,221982
37,0,206744
38,0,265001
39,0,260478
40,0,217203
41,0,253288
42,1,230868
43,0,216218
44,0,186771
45,0,271177
46,0,249763
47,1,238527
48,0,207925
49,0,249803
50,0,236647
51,0,261959
52,0,247236
53,0,193431
54,0,227655
55,1,223251
56,1,212241
57,0,226786
58,1,218055
59,0,243517
60,0,240538
61,1,254137
62,0,212622
63,0,247921
64,0,260537
65,0,233838
66,0,224426
67,0,152319
68,0,225862
69,0,245719
70,1,242696
71,0,185245
72,0,253646
73,0,232463
74,0,251858
75,1,230386
76,1,274189
77,0,237160
78,0,271560
79,0,197378
80,0,227412
81,1,225772
82,1,225676
83,0,193572
84,0,241623
85,0,152819
86,1,232819
87,0,238397
88,1,171101
89,0,269283
90,0,235079
91,0,249460
92,0,251669
93,0,260096
94,1,246039
95,0,242208
96,0,229204
97,0,209463
98,0,230496
99,0,238464
100,1,225502
101,1,217326
102,1,270068
103,1,258809
104,1,177398
105,0,272436
106,0,245700
107,0,232161
108,0,206730
109,0,229143
110,0,244715
111,0,204520
112,0,220090
113,0,222984
114,0,226267
115,1,243592
116,0,250888
117,0,239251
118,1,221062
119,0,262109
120,1,187791
121,0,250409
122,0,240145
123,0,280998
124,0,250917
125,1,205856
126,1,199939
127,0,208201
128,0,223791
129,0,230351
130,0,218160
131,0,234676
132,0,242372
133,0,190784
134,0,270245
135,0,253801
136,0,226570
137,0,281168
138,0,240364
139,0,231530
140,0,261433
141,0,217090
142,0,255487
143,0,233511
144,0,231651
145,0,246852
146,0,306927
147,0,244605
148,0,258159
149,0,215839
150,0,164192
151,0,253114
152,0,242931
153,0,188685
154,0,226366
155,1,199669
156,0,231335
157,0,181106
158,1,238636
159,0,221839
160,0,232831
161,1,203023
162,0,213188
163,0,287413
164,0,276719
165,0,249488
166,0,187916
167,1,221246
168,0,273835
169,1,227317
170,0,237258
171,0,208979
172,0,223566
173,0,216109
174,0,220348
175,0,238231
176,0,225227
177,0,227184
178,0,254024
179,0,271827
180,0,231956
181,0,277558
182,0,251233
183,0,216673
184,0,228148
185,0,260818
186,0,232668
187,0,249919
188,0,244373
189,0,238700
190,1,212058
191,0,233878
192,0,241854
193,0,230007
194,0,222608
195,0,238269
196,0,202939
197,0,224069
198,0,260596
199,1,198096
